,text_id,full_text,cohesion,conventions,grammar,phraseology,syntax,vocabulary
2865,CFFD84E8F43B,"My exmple:

My opinion is that all the student taht can take drama, music, or art or any other class it is good because many students partcipated in many activities with other's school, or they made many show where invite to the family.

or the future the can be the teacher for the next generation coming.

If the student graduated from the class that they taking be better for then because maybe some student have more oportunity that others they can be progress maybe they can be teacher or they can be gave examples how they can duda with your class, and the people believe that all the student taking any class the people believe that they can change the future they can be better the future for all new generation can help with the poeople that need help with something.

When the student taking like a drama class they can be actor, or they can be supervisor of the drama show or they can help with the ideas how can see better the shoe, movies, or the student taking music class can be compositor of music manager from any artist they can have more oportunity to practice all that they learning about the class that they graduated. The student that have.

All parents believe that your childrens be better that they was the parents gave the oportunity of they can have a diploma from any class that they takinng or from the high school or collage if they continue with any subject that they want to taking.      ",2,1,1,1.5,1.5,1
3428,EB3D751AD980,"Being asked to give elementary school students is a great thing ever. You get to see different people and also talk to elementary schools or the time and even gets to meet their parents and some of their family members.

Sharing lessons to elementary school students is fun. Giving lesson to elementary school students makes you remember your childhood. You can give the lesson by picking or taking one of their subject to teach or talk about it to the students.

Giving lessons to elementary school students makes your remember a lot of things in your past. For example teaching math or another subject in elementary schools and you asked one of your students an easy question that ""what is a noun and he answer you and say the write answer"" you will probably think that you want to go back to elementary school. Sharing or giving elementary schools lesson is hard but is easy once you fine how to associate yourself with children. And also when you fine out that there is different lessons or different actives. Getting to no more interesting things about elementary school students is really fun.

Helping elementary school students makes you to know more and interesting things going on elementary schools. You also get to see a lot of teachers and also meet the school principles,gaudiness and even somethings see your sibling or your family member. Going to elementary schools makes you improve your learning skills ,tectquines, and more.

Elementary schools can make you remember a lot of stuff you use to do in elementary schools. You get to see and make friend with some of the 5th graders and the 4th graders.

Students in elementary schools sometimes challenge you the teacher other subjects like math,science,English,and other elementary subjects. Elementary games are really fun and also fun at the same time. Teaching elementary school students a subject to learn makes them more interesting in learning every day and every time. They also feel happy anytime you want to give a lesson or teach them. They also make sure they do their assignment every day and on time.

Teaching or being asked to give elementary school students is really good and also fun. You also remember your self in your childhood being in elementary schools. They also do many actives like running and more. Giving lessons to elementary school students meaning helping them to get a better future. They can be successful in future because of the lesson you were asked to teach or give them. Sharing lessons is fun,interesting and also improve on your learning skills.                                     ",2,2,1.5,1.5,1.5,1.5
3022,D86C20117DC9,"Students should work in groups or should works alone. Working alone students can be more focused during class; however, work in group is better. Work in group is more beneficial for students because students can share they ideas, they can be better in class and they can learn from each others.

It's more beneficial for students work in groups because they can share they ideas. For example, if the students are doing a important project or a simple homework they all can says theirs opinions. Also, they can research together to support they ideas and make a better work. Last, working in groups students can support the ideas from each others. It's more beneficial for students work in groups because they can share they ideas and make a wonderful group project.

Is better to to work in groups because students can be better in class. First, they can talk and find out what they don't understand and ask to the teacher together. Also, teachers can safe time because if they ask questions in group them the teacher can explain just one time and not explain one by one. Last, working in groups students can learn from the mistake of the other students and make less mistake. It's better to students to work in groups because they can be better in class and be more proper.

If students works in groups they can learn from the people in the group. First, if a students need support or not understand the class material other people from the group can support them. Also, they can help each other to make a better group and everyone can understand the class material. Another example, is that students can research together to find better information. Is more beneficial for students work in groups because they can learn from each others and learn from the others people from the groups.

Students should work in groups because students can share they ideas, they can be better in class and they can learn from each others. If students share they ideas them the other in the group can learn from them. Also, if students work in groups they can be better in class and they can pass the school year. Last, working in groups students can learn from others and be better to the future. In conclusion, is more beneficial for students work in groups.",2,2,1,1.5,1,1.5
351,1A469EB86263,"We can always accomplish if we have a time and also if we try to do more than do anything. Accomplish don't have to be all the time just when you can. For me to do accomplish more is better than don't do inactivity. I have 3 reason why I think do more accomplish. First reason is, to be better. Second reason is, do more. Third reason is, feelings. There are some reason why I think that be accomplish is better. For some of the people be accomplish is hard to the people because they don't have to much time.

First reason is, be better is because your learn more, you have more experience. We don't wait our time if we do more job if we have to do more job we doing it. We don't have to be to lazy for do more job if we can do the job. Just if we don't have to much time that will be just to done the work. To do accomplish to spend more time doing it. Whatever thing is if we have time we doing it. I work every day if I have to do more work I do it but if I don't have a time do to my work I just done whatever I am doing.

Second reason is do more. do more can be extra work done that will be nice ti have extra work done for the next day if we do the same we don't have to do more. Extra work have to be complete by the time and then dependently what do you do about. When people do extra work in their job the make more money and also they make more overtime hours in their job but no all the job are the same. For me to do more work is more easy for one think I learn more for, another think I just do extra job because I have time and I like too. To more is when we the people have time

Third reason is feelings, why feelings? feelings is because when we do more work that have to be we are satisfy. In other way we feel like when you make a goal when you done. We have emotional feeling when we done the thing what we doing it and also when we accomplish more. After you finish doing the work we feel tired but is not the same when we are satisfy for done. when I do my extra work always measure that is good. When I know is good

I say ""yes I finishing"" and I feel so proud of me. when we do something we have to be positive for every will be okay.

In conclusion, to do accomplish will be the best idea for to better extra work. The reason why the accomplish is the idea is, to be better, to do more, and the last one is feeling. what Thomas Jefferson wrote ""Determine never to be idle it is wonderful how much may be done if we always doing""

that is most be true for all kind of people around the world. do more is always help and always do accomplish is the best idea.         ",3,2,1,1,1,1
1811,88860671767F,"Some schools offer distance learning as an option for students to attend classes from home by way of online or video conferencing. I think students would benefit from being able to attend classes from home. Distance learning students attend classes on time by online. Distance learning students also attend to school everyday. By way online you can attend to classes from anywhere.

First, distance learning students attend classes on time by online. In many states students live far from schools. Sometimes they can't be on time because of highway traffic. Sometimes cause of bad weather you have to drive slow than speed limit. And you can be late for school. If they late in every first classes they might fail that classes. Suppose they use the online conferencing they can be on time in every classes.

Also, attend to school everyday. Even if you sick for a week you still able to attend to school everyday by way of online or video conferencing. If weather is such a bad you can't go out of the house still able to attend classes from home. Although none is home to drop you off to the school. You can attend school by way of online or video conferencing.

Then, By way online you can attend to classes from anywhere. You can join to the class even if you go to your friends house. Also if you plan to go out the state for few days you can attend to classes from there. Students can enjoy also they can study. They're able to work in online.

In conclusion, for online or video conferencing students doesn't need to worry about there attended. Distance learning students attend classes on time by online. Distance learning students also attend to school everyday. By way online you can attend to classes from anywhere.

I think students would benefit from being able to attend classes from home.",2,2,1.5,1.5,1.5,2
1593,7982F5F494E2,"In my opinion setting a good example is the only way to influence people you're a good person. many people wont believe you're a good person just because you say you are. However, if you show them by how you act like for an example: you don't bother anyone, you show where a location is or try to, being polite, patience, showing manners, etc.

they will find you setting a good example or showing good behavior. Not only setting a good example can make people say you're a good person , it can also lead to ""good karma"".

Lets say you have a younger sibling, and they want to be like you , you can be smart , responsible,and a good behaving person, show them a good example so they can be as successful as you. same goes to people dont show them a bad behavior or example, thats not gonna get you anywhere, that'll only make people not like you and assume different things. Another thing is always set good example when you're out in public with a family member, because if you dont people will not like that and have your family at fault.

in conclusion to all this if you show good behavior or set a good example by showing it , It will not only make people assume you're a good person it will also influence young ones to do the same.     ",2.5,2,1.5,1.5,1.5,1.5
1659,7DDFF6DA8655,"What would make feel much better in class to work alone or in groups? Would it make you feel better and more productive? Some people think that working in groups helps them be more productive and helps them get the job done easier. There could be teachers who wouldnt support the idea of working in groups. If you're trying to convince your teacher you have to have examples to support your position.

Working in a group is more productive and easier it gets the job done quicker then you expect. You can assign each classmate your working with a job duty. One of each classmate can work in drawing, writing, searching up facts about the assignment and not least but last the leader to put everything together and help his classmates when needed. There can be minor things when working in groups. You could expect some who would do there job and just take advantage of time and not be productive. The leader is expected to get there classmates to work and not waste time.

When working alone instead of in groups there can be advantages. Like Having more time in the assignment and not rushing into it. You can have your own ideas without others forcing you to change it up into something they all like. When it comes to mistakes you can point them out yourself and correct them. Instead of stressing about who is not working and who can't get the job done you can work on your own. There could be problems too like not having enough time and can't get your job done as quick as you need it to be. There is other classes to worry about.

Some teachers wouldn't support the idea of working i groups. Instead they would like for you to work alone to get your job done easier. But not every student would support that idea of working alone. Some students could be left back and behind from class so they would need the help from his classmates. There is supporting ideas on why it would be so much better in groups and it would be to get the job done easier and faster. Being alone isn't very helpful when you need the help you do.

Working in groups would not just help students but teachers on grading your work. It can be stressful for them when it comes to working alone and having so much papers to grade. The idea of working with other students would be much more easier and productive. It would feel way better for you and other classmates.          ",2,3.5,2,3,2.5,3
2071,9BAE37CAB3ED,"Dear Teacher,

I think that working in group or working alone has some advantages and disadvantages. But in my opinion I would say that one that is more beneficial is working in a group. Working in a group is less work and more ideas.

As I was saying that their are advantages and disadvantages, My first advantage of working alone is that you get to work alone with no distraction from others. Second advantage is that you can focus and ask the teacher for help. Last reason is that you can put as many ideas you want and a lot of effort and ask the teacher to check your work to see how you doing working. The disadvantage of working alone is that you will not get the work done faster. My second reason is that working alone is not fun because you working independent and doing all the work.

My first advantage is that working in group you get to hear different ideas from each other. My second advantage is that you can talk together and gets lots of ideas and fix mistakes together. Last advantage is that working in a group you can finish the work faster. The first disadvantage is that working in a group their is going to be too much talking and also not focusing. Second disadvantage is that when you are working together some times one person does the whole work and the other doesn't. Last disadvantage is that you can easily get destructive and not get the work done.

To conclude this I think working in a group is more beneficial. I choose working in group because their are many advantages. Therefore working in a group is less work and turning in work fast, As a result you won't have to worry about asking for help or not having ideas because thats is why you are in a group to get your work done and have a lot information.

Sincerely,

Generic_Name                ",2,3,2,2,2,2
1407,6C449C1EDB2D,"A Positive Mental Attitude by Generic_Name

A possitive mental attitude can make you successful but it can also blind you from seeing how you may fail. The idea of being successful in life has nothing to do with a positive attitude or negative attitude its how you struggle to try and be successful and not just say that you will be successful, a lot of people have wanted to try and be successful or try helping by being successful but also fail and their hardwork goes down the drain. You should think about working hard and being the best

YOU

that you can be, but yes you should still try to keep a positive attitude but also a negative attitude in case you need to keep up if you make a mistake. If i were to be the one saying this from trying. I have never been successful in anything

WITH

and

WITHOUT

the positve mental attitude its difficult to keep the positive attitude but you should keep that attitude and strive for success. I'll show you pros and cons now

Pros

Keeps your mind at bay

Helps in tough situations

People may be encouraged to help or stand by you for your attitude

Cons

A failure in what you do could make you depressed

Your anxiety may skyrocket and make you uneasy

Everything might seem hopeless

You might see yourself as a failure

People around you might move away from you because your attitude may change.

I know it doesn't seem right but thats what a PMA could do to you. It's bad but could also be good.",2,1,2.5,2,2.5,3
3712,F7DD6134C693,"Generation by generation there is a new technology, out time we have cell phones, computer, tablet. People use cell phone in positive way and some times in negative way as comunication, news or to study, some school allow students use it in classroom for education purposes and some school they not allowing it for so many reason.

Schools should allow students to use there smart phone in classroom for many education purposes as recourding a labs or math or for communication betwwen students in group project.

Having a cell phone in classroom make teacher now who is apsent and who's not with some new technology application and we cell phone they can done there work easyer.

By not allowing students use there cell phone they will lose time that they not having it, and make things difficult and students they will make a lot of nuse bye talking to each other in some group project.

Students want his class to be easyer and he want to enjoy it and learn every day from it and by make easyer by using cell phone every one going to be happy.",2,2,1.5,2,1.5,1
