,text_id,full_text,cohesion,syntax,vocabulary,phraseology,grammar,conventions
2155,A0E95D8119F7,"I would agree with Emerson's in this world be yourself which is most important things . If we have confidence your own because we face with different kind of stutionan that we have to fight and difficult staff in life never give back keep working hard encourage find way that take of your stutional.

For example: If we start something new that took long time to resive that result we have to be patient for that greatest thing never get quickly every beginning took time for that accomplishment we are face diffcualte time like might field are might be win for first chance never lost our hope keep working hard.

don't depended to other people never improve in life because depended to other. In the world indefinite multitude or great quantity or distance make a difference a way. For all the world in every way ex acuity copies which look for all the world like the original. You should trying to become succeed in life to get of the way from problem find solution how to succeed in you're life.

First, trying as mach could doing make more successful this new world sometimes is life easy but, sometimes is not because life complicate and busy. If continue this way your life totally change working hard more successful and, more achievements. Should be put the goals what should I, do to accomplishment my goals for that you should keep trying to never stop your trying because noting impassable without trying. When start something for that need trying to resive achieve your pride. Those people are trying are working hard now the a have more power.

Then, greatest thing you have to skill which is more important that part of life also. Without skills never get achievement because everything bast on standing everyone the have special skills that make encourage and make them successful in the life. For example one person good in the reading some are the writing, some cooking, some are management, and some are making with hand ext... Those are part of skill everyone they had for that resance this greatest achievement this very important. Those people the don't a have those are more make terrible never couldn't solve the own problem the need the come to help them this is showing weakness a person. Some people thing the don't have skill this impossible but, never are used own skills the thing couldn't do it the always thinking negative they lost.

After, beyond every good thing the have achievement. When get our aschivemnt that made feeling proud your self encourage you doing good things that challenge of life the person make more successful.

I do agree with Emerson statement the encourage you working hard trying your life you would be get greatest achievement.",1.5,2.5,2.5,2,2.5,1.5
2800,CCA58535073C,"Picture your self enjoying spending time outdoors playing catch, or riding bikes, or even just doing any other activities.

Its fun to do many activities outdoors and its also good for you to be outside moving around and doing things.

Spending time outdoors are great for doing activities,and to see what other things you can do at parks. For one, playing catch is a good activity to enjoy with others, and to move around. People can find that playing catch is a good activity to enjoy outdoors, because most people play it differently and many of them can learn how to play, its also a good way to play fair with others, and to throw/catch a ball.

Secondly, riding bikes is a great activity to do at a park with your family or friends. Therefore, riding bikes is an amazing activity for outdoors, you can enjoy riding along the streets, and to enjoy the outside nature by looking around the park and to hear the people playing around having fun outside.

On the other hand, doing any other activities are good to enjoy outside. For example, playing football is a good game to spend time outside practicing or playing with friends, and tag is another game that kids love enjoying outside running around and laughing and playing fair with other childrens on the grass or even just chasing little things that they see, like a dog they like to go after a dog and pet it.

Conclusion. Spending time outdoors with many activities like, playing catch with your friends, or riding bikes around the park and enjoying the nice ride,or even just enjoying doing any other activities of your own outdoors. What ever activity is interesting to do outdoors to spend time on, then just do it to enjoy it.",4,4,3.5,3.5,3.5,4
1468,71A9098715EB,"Self-reliance is better then hoping someone makes the best decisions for you. This is because people need to follow there own instincts in life no one knows them like they do and what is best for them. Why would anyone want someone to make decisions for them, People will always want what is best for them so if people trust someone to pick a important life decision what if they pick something that will help them in there long run and not you.

My older brother 5 years ago was done with school and was planning his career he wanted to be a engineer but my mom and dad wanted him to be doctor; He made his own decision at the end and now lives his best life with a kid and wife. If he had chose to be a doctor he would be in school still and never meet his wife. This shows how important it is to trust your self even if no one agrees with you.

People will say that someone with more life experious will help others more then they can help them-self but they can make it so much further then others. Im not saying people should't have rolemodle just don't do something because someone else did it do it better then they ever could. My friend Generic_Name wanted to be a football player his whole life he was the best in our middle school team, but his mom and dad hated the idea they thought all football players end up hurt so he did't play in high school he did't like any other sports so he just went to school and went home. this left Generic_Name with not that many friends and he is sad and deperested today.

Making your own decisions all the time can be hard and at some point you may fail but if you keep trying you can make it big one day. There are many reasons to have someone make decisions for you it would be much less stressful and you would have less chance of failing, but everyone need to grow up at some point and do what is best for them, You can't live under someone your whole life at some point you will be on your own.

Those are the reasons I believe everyone should make there own decisions in the long run you will be 10 times the person if you trust your-self and do it your way. A person should never put there life in the hand of anyone but them-self. If someone stops talking to you because they dont like a decision you make and did't do what they said to do then they don't deserve to be in your life.",3.5,3,3,3,3.5,3.5
1717,824896E8F91B,"IT will help they can be friends, like they tell something about them self or they will fight either like some older students make fun of the younger kids that will be a problem to me this how it will go down the younger kids start fighting back and then it will be a war zone of fight older vs younger. Their is no reason what will their reaction be to me back in the day , they didn't know what the older students and younger students react i bet they pray for the older students and younger students to get along on the first day of school, to see their reaction. What i think is it will be normal the effects like they will get use to it and they will mine they old busness plus to me they will say we gonna have to treat the younger students the same like everybody else . The older students have to assist the younger students, to do service hours or get credit on service and to do more and more service hours. The older students are having bad grades in classes , their teacher will get a student who is really smart to be the older student twoder.",1.5,2,2,1.5,1.5,2
1258,60D9DD69CE8D,"Generic_Name

March 14, 2019

Writing SOL

Where is one place you would like to visit?

I would like to visit Florida because they have really nice weather.

Florida is something special to me because I have family in Florida.

The place I would visit is my grandfather grave because my grandfather had died last year

To, begin The reason why I picked Florida is because I have really nice, cool family in Florida.

My grandfather had dies last year after he had fell and hit his head on the ground.

He is special to me because if it was'nt for him I would not be playing soccer right now.

Every time I score a goal i always do a celebration for him.

I have something valuable of his and that is the gold chain that I got on now that he gave me and I had never took the chain ever since he gave it to me.

I will take off this chain the day I die.

I had promised him that I will love soccer forever and go to college to play soccer.

The college that I'm going to is Generic_School.

The reason why I would like to go to this college is because I had went there for a scholarship and I had got the scholarship and they said that I am really good for my age.

Here go some tips if your not good at soccer you should go outside and practice makes perfect.

If your not good at it you should try I mean it is really not a hard sport if you think about it.

If someone say that you suck let them keep on telling you that for me I will take that as motivation.

The reason why I love soccer so much is because of my grandfather he loved soccer just like me.

Everytime I had went to Florida to go visit family me and my grandfather we would always watch soccer games and tell me some formation to play when I grow up.

The favorite things that my grandfather love to do was drawing, playing soccer and teach me some new moves.

Every morning we would wake up he will always take me and my brother to waffle house and we would tell some stories to me and my brother about what he did when he was growing up.

When he had fell and went to the hospital I was not but when my mom face time my aunt he found out that we could not move body shoulders down and then he had to get some brain surgies and all that then the week after all that he had died and we face timed my aunt and he prayed on the phone and we all was crying.

I had a soccer game the day after he died and I had scored 6 goals and every time I had scored I had always kissed my hand and point it up to the sky.

After the game I was crying because I was proud of my self that I played a game with all that stress over my shoulders and I said to my self I did that for my grandfather.

Then right after the game my mom had came to me and started crying because I told her that I was going to score 6 goals just for my grandfather and I did what I said I was going to do.

That night I was praying and telling my grandfather that I had scored 6 goals just for him and I was saying to my head that I was going to do that more often.

My next soccer game I had scored 5 goals but every time I go on the pitch I had always kissed my chain and touched the ground and point at the sky and I still do that today.

My soccer game in 2 more weeks and I am going to do what I need to do to take my team to the championship and I will play all my soccer games just for my grandfather.

All the soccer games I play they will always be for my grandfather and he will never forget that and if I have to do anything just to get some goals I will then just for him.

When I was in Florida my grandfather had bought me a soccer poster and a soccer jersey of my favorite soccer player.

He had got a jersey customize for that say my last name and my favorite which is number 7 and that is my favorite soccer player number to.

When I was little he had always send me some of his drawing and like always write a little back that say I will always love u miyo and miyo mean son.

When I was 10 years old he came down here to Virginia and he was visiting and he will always wake up at 4 o clock in the morning to go fora bike ride and when he came back he had always fix breakfast for us.

In the afternoon he will always 1 v 1 me or my brother in soccer for some money like 10 dollars but that is if we beat him do.

This why I play soccer just because of him.

Like when I get frustrated in the soccer game I will always take a deep breath and think about my grandfather and that is what always calm me down when I get frustrated.

He had always tell me if someone is talking trash always smile because that dont talk the most is the most strong ones in the game and I always tell them look at the score board.

Here go the reason why I would like to go to Florida:

Family and my grandfather grave.

I would like to go to Generic_City studios.

Go to the beach and get some nice weather.

In conclusion, Where is one place you will like to visit?

I would like to visit Florida because Florida have nice weather.

Florida is something special to me because I have family down in Florida.

The place I would like to visit is my grandfather grave. Another place I would like to visit is Generic_City studios because like your like in a movie because there are people that are dressed up as some characters.

Another place I would like to visit is the indoor soccer field and play some soccer there with some family and maybe some new friends if I meet some there.   ",3,3,2,2.5,2.5,2.5
2828,CE19B516A167,"should the school board add one and a half hour to school each day? The school board should add one and a half hours to school each day. I agree with the school board plane to add one and a half hour to school because it would effect the students learning and help them get more smarter and it would effect the school worker's because they money they get payed will increase.

1 first of all the school board plane to add one and a half hour to school each day.

if the school board add one and half hour to school if will effect the student because they will be able to have more time to study with they teacher which help them gain more learning. for an example when Generic_Name was 10years old in Generic_City, he use to not like school because he had school from 7am to 4pm and the teacher's use to force them to do homework,classwork and all the learning he needed it felt like being a maid having someone telling him to do this and that he hated the teacher but he learned a lot from them and him and his classmate still cared they teacher's teaching everywhere they went and it's very helpful, for an example they teacher's was like your parent's telling you to do something you don't wanna do they know is good for you but still you don't wanna do it so they force you to do it then you get mad over them for doing that which they find it helpful for you later in life in fact you hate them at that moment for what they did, but after years when your adult you get struggle about something and you remember what she thought you and you find it helpful the how our teacher's was like back then in Generic_City, the more hour's we had the more smarter we got . This evidence show's that the more time we got learning with our teacher's the more smarter we got. clearly sometime's the teacher's rush teaching when they do not have enough time and that does not help the student so the more time the teacher's get to teach the more student understand the subject well without rushing through the subject.

2 I agree with the school adding one hour and a half to school each day.

perhaps if they do add one hour and a half to school each day it really help the student and teacher's because they will have enough time learning not rush through learning. for an example when i was in school back then in Generic_City, Generic_Name was in classes doing his work but the classes hour's was short so this time when he did not have enough time to do the classwork in class the class hours was like

1hour and 30minites in math class the teacher told us to '' turn your work in it's time to go '' innocent didn't have enough time so he try to rush through it so he can get it done.

after week's innocent got 60% on my classwork he was disappointed in himself innocent wished he had more time to finish it was not the teacher's fault so he didn't blame the teacher because they did they best to make sure we had enough time. if we had enough time it would had really helped us all student's and teacher's.

in addition for student's to have better grade they need more time to focus and do they work in class.

clearly if school board add one hour and a half to school it will effect student's grade because they will have enough time to do they work in class and not rush.

In conclusion the school board should add one hour and a half because it will effect student learning and it will also effect they grades too so it will be a good thing to add one hour and half to school each day sometimes the student don't have enough time to do they work and they need sometime to finish but they can't and that effect the decrease the student grades. like in the story when the boy name Generic_Name in his school they didn't have enough time to do they classwork so he rushed through it and got bad grade, so if student's have enough time to do they work in class it would be very helpful to the student's. if the school board add one hour and half the student's grade will be different all they need is just more time to do they work in class and not rush through they work the more time they get to do they work the better they grades will get and the smarter they become.        ",2.5,2,2,2,2,2.5
3333,E70DD00622DB,"From my personal experience back in middle school, I had to use technology for many different reasons. One of the reasons were for research purposes. I was able to use technology as a tool to provide information on my assignments and projects. So far technology has made a positive effect in my life not only in school but in real life. Technology has helped me accomplish and complete many difficult task in life. I believe that technology has made a positive effect on people's lives; consequently, it makes peoples lives a lot easier and convenient.

One reason that technology has a positive effect on people is that they are able to study without having to go out on a library and pay for books or a tutor to teach them. For example, people who are disabled or unable to travel out of their houses are able to go online and research for books and look for a site to teach them what they need to learn. The availability to go online and research for information also helps students who are too busy to go outside and ask others for help. Many schools started providing laptops and iPad's to students who are unable to connect online. Schools are using these electronics because they provide an easier way to help student learn and complete work.

Technology can also help people do many other things online other than researching for information.

Furthermore, technology may also be used as a way to shop whatever and whenever. For example, eBay and amazon is an online shopping website for many things such as: furniture, clothes, food, and many other reliable things. This has made it a lot easier for people to purchase items that they want at any time. Online shopping helps a lot of people who are looking for items that cannot be found in local stores. For example, many custom equipment's and items can only be found online and in places that may not even be located in your place. Not only does technology may be use as an online tool, it may also used as a way to communicate to others in the world.

Lastly, communication has been a major part of the world; in addition, technology has been one of their ways to communicate. For example, our military has improved a lot throughout the years due to the inventions of many technologies. Technologies such as: cellular devices, radar, satellite and many other communicating tools has helped us win wars and accomplish many things around the world. Another reason why technology has had a positive effect on people is that they use it for emergency purposes. For example, if an adult needs to call out of work for the day because of family problems, he may use his cellular device to call and inform his supervisor about it.

Many people say that technology is a way to showcase yourself as a lazy person and I disagree with that. I believe that technology allowed many people to accomplish and complete many task. Technology is not only important to the civilians who are either students or adults who are working in the industry, but it is also important for the military who are using these tools to provide protection to our country and keep our people safe. In conclusion, technology has had a positive effect on people's lives and that is due to many reasons such as online researching, online shopping, and wide spread communication.                 ",4.5,4.5,4,4,4,4.5
952,48EA282A4EAF,"some student offer distance learning as an option for student to attend classes from homr by wat of online pr video conferencing. i think student would benefit form being able to attend classesfrom home. you are authorized take the electronic version of this you will taking this promptsome student offer distance learning as an option for student to attend classes from homr by wat of online pr video conferencing. some student offer distance learning as an option for student to attend classes from homr by wat of online pr video conferencing. some student offer distance learning as an option.

online pr video conferencing. the right view the prompt and teh checklist for writers vvsome student offer distance learning as an option for student to attend classes from homr by wat of online pr video conferencing. some student offer distance learning as an option for student to attend classes from homr by wat of online pr video conferencing. some student offer distance learning as an option for student to attend classes from homr by wat of online pr video conferencing. some student offer distance learning as an option for student to attend classes from homr by wat of online pr video conferencing. some student offer distance learning as an option for student to attend classes from homr by wat of online pr video conferencing. some student offer distance learning as an option for student to attend classes from homr by wat of online pr video conferencing. some student offer distance learning as an option for student.",1.5,1.5,1,1.5,1.5,1
3105,DBF44F842C57,"Dear Generic_Name

It is a honor for me to respond your statement about human individuality and I agree with your statement and i believe that be yourself in a world is hard. The world is something that the human we can not answer and be yourself is definitely the same is hard everything is hard but you can get a lot achievements for do and treat the best the you can.

First, I think the when you are alone and the city or other place and you got this situation you are alone there is not family, friends, parents nobody is there but you have to be sure that you can live without people that grow and start think what is going to happen. I believe that everyone can do everything that we want each achieve or something else because everyone can be smart, we are the people that we wanna be and yes if you are alone in the a big world you are going to scared first you have to work and pay everything that you want but that is help you to get the greatest accomplshment.

Second, be yourself is everything that all people want because to can express the real person that you are not a fake person cause if you are in a meeting or school or whatever place you have to be yourself and demonstrate the person who are you inside the feeling the you have all the characteristics that you have the point is to desmonstrate the world the you can be yourself and make more to get something else and be something else.

Next, desmonstrate the person who are you one reason is you can get more friends because your are showing to other person who real you are.

In clonclusion, be yourself in a world is more better then not we have to continue trying the person who wanna be for get more achievements and other things. Thanks for give me this opportunity to response you what i think and give you my opinion.

Sincerely.",1.5,2.5,2,2,2,1.5
3311,E5621447B675,"Did you know that everyone choose their onw character traits? I choose my charecter trait in my house,I cgoose my character trait in my job, and I choose my character trait in the school.

In my house I can choose my character trait with my action. my brothe character trait is to lied everydoby at home.

In my job I can choose how to use my character trait from my customer and my friend at my job. for example If I use the same character trait from my friend to my customers my customer can feel bad. my character trait at the school can be a happy or serious caracter trait. for example when I am in clases I am serious but when I am with my friend in lunch my character trait is happy.

In conclution my character trait is how I desided to make it.    ",1,1.5,1,1,1.5,1
